Barangay,Classification,cwsu4_avg_pesos,cwsu5_avg_pesos,wtp_avg_pesos
BARANGAY I,Commercial,120.0,,146.66666666666666
BARANGAY I,Residential,72.0,21.0,80.0
BARANGAY II,Commercial,120.0,1205.909090909091,173.84615384615384
BARANGAY II,Residential,240.0,36.4,50.0
BARANGAY III,Commercial,120.0,246.6832260869565,156.92307692307693
BARANGAY III,Residential,120.0,7.777777777777779,58.333333333333336
BARANGAY IV,Commercial,405.0,25.051882692307693,153.91304347826087
BARANGAY IV,Residential,465.0,29.96875,87.5
CARLATAN,Commercial,99.0,502.16922897734094,110.83333333333333
CARLATAN,Residential,48.0,0.9099999999999998,49.375
CATBANGEN,Commercial,570.0,493.1818181818182,167.61904761904762
CATBANGEN,Residential,360.0,146.125,59.0
LINGSAT,Commercial,150.0,104.64029423076921,159.3939393939394
LINGSAT,Residential,120.0,54.949999999999996,66.25
MADAYEGDEG,Commercial,210.0,28.4245625,160.0
MADAYEGDEG,Residential,150.0,35.4445,64.44444444444444
PAGDARAOAN,Commercial,186.0,345.8276111111111,166.66666666666666
PAGDARAOAN,Residential,285.0,11.112499999999999,69.0
PARIAN,Commercial,300.0,83.98739125000002,150.83333333333334
PARIAN,Residential,180.0,50.4,31.666666666666668
PORO,Commercial,570.0,37.759291666541664,156.875
PORO,Residential,120.0,34.2475,55.0
SAN AGUSTIN,Commercial,,20.37135625,170.0
SAN AGUSTIN,Residential,,20.825,50.0
SEVILLA,Commercial,900.0,43.6741953951579,159.82456140350877
SEVILLA,Residential,72.0,40.425000000000004,55.55555555555556
TANQUI,Commercial,288.0,24.430560000000003,160.0
TANQUI,Residential,90.0,7.174999999999999,50.0
