CWSU-4 - Primary Drinking Source - gals,CWSU-5 - Ave Demand (in cbm)
63.94444444444444,
13.333333333333334,6.0
109.44444444444444,344.54545454545456
46.2,10.4
47.515151515151516,70.48092173913042
16.2,2.2222222222222223
84.26470588235294,7.15768076923077
150.33333333333334,8.5625
206.5,143.47692256495455
8.0,0.26
123.86363636363636,140.9090909090909
49.888888888888886,41.75
71.24,29.89722692307692
21.11111111111111,15.7
57.333333333333336,8.121303571428571
23.2,10.126999999999999
32.75,98.80788888888888
55.5,3.175
153.0,23.9963975
30.0,14.4
86.42857142857143,10.788369047583332
24.0,9.785
,5.8203875
,5.95
365.1923076923077,12.478341541473684
12.0,11.55
91.5,6.98016
19.0,2.05
